Fellow_ID,Student_ID,Time,Mathe,Englisch,Deutsch,Weiteres_Fach,Hoeren,Sprechen,Schreiben,Lesen,Selbstvertrauen,Teamdenken,Reflexionsfaehigkeit,Regeleinhaltung,Hilfsbereitschaft,Konfliktverhalten,Motivation,Lernziele,Elternkontakt_Date,Elternkontakt_Comment,Fehlzeiten,Berufsorientierung_State,Berufsorientierung_Comment,Uebergangsprognose,Active,Kommentar
1,1,1,5,1,2,3,5,5,5,3,1,4,5,3,2,3,3,2,07.05.2019,Eltern stark interessiert,10,1,stark interessiert,C,1,"- Muss einen Kuchen mitbringen
- Ist der mit den roten Haaren
- Vater ist Partner bei Accenture
"
1,1,2,5,1,1,2,6,4,4,2,2,5,5,2,1,4,2,3,07.05.2019,,0,1,stark interessiert,C,1,"- Muss einen Kuchen mitbringen
- Ist der mit den roten Haaren
- Vater ist Partner bei Accenture
"
1,1,3,4,1,2,1,5,3,3,1,2,4,4,2,1,5,3,4,,,0,1,,D,1,"- Muss einen Kuchen mitbringen
- Ist der mit den roten Haaren
- Vater ist Partner bei Accenture
"
1,1,4,4,2,2,1,6,4,2,2,3,3,3,2,2,6,3,5,,,9,0,zeigt kein Interesse,C,1,"- Muss einen Kuchen mitbringen
- Ist der mit den roten Haaren
- Vater ist Partner bei Accenture
"
1,2,1,4,5,4,4,4,3,6,5,6,1,2,3,1,2,6,3,07.05.2019,,13,0,,A,1,
1,2,2,4,5,3,5,3,4,5,6,5,2,1,4,2,1,6,4,07.05.2019,,5,1,,B,1,
1,2,3,3,6,2,4,4,5,4,6,4,3,1,3,1,1,5,5,07.05.2019,Eltern stark interessiert,5,1,stark interessiert,C,1,
1,2,4,2,5,1,3,3,5,3,5,3,3,1,3,1,1,6,5,,,10,1,zeigt kein Interesse,C,1,
1,3,1,2,4,1,2,5,3,4,4,4,4,2,2,6,2,4,2,07.05.2019,,1,0,,D,1,
1,3,2,2,3,1,2,4,4,3,3,4,3,1,3,5,1,5,3,,Eltern wirken sehr desinteressiert,7,1,,D,1,
1,3,3,1,2,1,2,3,3,2,2,4,4,2,3,6,1,4,4,07.05.2019,Eltern stark interessiert,3,0,,D,1,
1,3,4,1,1,1,2,4,2,1,1,3,3,2,2,5,1,4,4,07.05.2019,,9,0,,D,1,
1,4,1,6,2,4,4,4,5,1,3,2,4,1,4,4,3,6,6,,Eltern stark interessiert,12,1,zeigt kein Interesse,B,1,
1,4,2,5,3,3,5,4,4,1,4,1,3,1,5,3,3,6,6,07.05.2019,Eltern wirken sehr desinteressiert,10,0,,C,1,
1,4,3,6,2,2,4,3,3,2,4,1,2,2,4,3,4,6,6,07.05.2019,Eltern stark interessiert,3,1,,C,1,
1,4,4,6,1,1,3,2,2,2,5,1,3,3,3,4,4,5,5,07.05.2019,Eltern stark interessiert,8,1,zeigt kein Interesse,C,1,
1,5,1,6,4,3,6,3,3,5,5,6,2,1,1,4,6,2,5,,Eltern stark interessiert,14,0,,B,1,
1,5,2,5,5,3,5,3,2,6,4,6,1,1,1,3,6,1,4,,Eltern wirken sehr desinteressiert,19,1,,C,1,
1,5,3,4,6,2,4,2,1,6,5,6,1,1,2,2,6,1,5,,Eltern wirken sehr desinteressiert,15,1,stark interessiert,C,1,
1,5,4,3,5,2,5,1,1,5,4,5,1,1,2,1,6,1,6,,,0,1,stark interessiert,D,1,
1,6,1,3,4,2,3,3,3,4,3,5,3,5,3,4,2,6,2,07.05.2019,Eltern wirken sehr desinteressiert,16,1,stark interessiert,B,1,
1,6,2,2,3,2,4,2,3,5,3,4,3,6,3,3,3,5,3,,,12,0,,C,1,
1,6,3,3,4,1,3,2,2,4,4,3,3,6,2,2,4,5,4,,Eltern stark interessiert,8,0,,C,1,
1,6,4,2,3,1,4,1,1,3,5,2,2,5,1,3,4,5,4,07.05.2019,,16,0,zeigt kein Interesse,D,1,
1,7,1,2,3,5,2,2,5,2,3,5,6,5,1,6,3,5,2,07.05.2019,Eltern stark interessiert,3,0,,B,1,
1,7,2,3,2,4,1,2,4,3,2,5,6,4,2,5,2,6,2,07.05.2019,Eltern stark interessiert,2,0,,C,1,
1,7,3,2,1,5,1,3,4,2,1,6,6,4,1,4,2,5,1,07.05.2019,,8,1,stark interessiert,C,1,
1,7,4,2,1,4,1,2,5,3,2,6,6,3,1,5,1,5,2,07.05.2019,Eltern wirken sehr desinteressiert,14,0,,A,1,
1,8,1,2,3,2,5,4,5,3,3,6,3,2,5,4,5,3,4,07.05.2019,,5,1,stark interessiert,B,1,
1,8,2,2,4,1,4,3,5,4,4,5,2,1,6,5,5,4,3,07.05.2019,Eltern stark interessiert,4,0,stark interessiert,B,1,
1,8,3,3,4,1,4,4,6,5,3,6,3,1,5,4,4,5,2,,,6,1,zeigt kein Interesse,B,1,
